Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,terrain_type,players,duration,Chunks
64888059.0,154700092697.0,188316441858048.0,193233350656.0,470891398336512.0,129984720021.0,0.0,11169412228.0,627022496.0,1171019824.0,60936640.0,173037.0,904790341.0,117104670.0,26452684.0,43872.0,85002.0,0.0,830826.0,0.0,274200.0,players-activeLogic_TerrainCircuitry_100p_300s.csv,2742,TerrainCircuitry,100,300,25
5157392235.0,296400939041.0,404750635044864.0,5186211495936.0,1263660840910848.0,20638047548.0,0.0,2116148615.0,1328107693.0,157763017.0,7860775.0,15645.0,130746103.0,14043666.0,73986840.0,1311792.0,2541597.0,0.0,21890529.0,0.0,819870.0,players-activeLogic_TerrainCircuitry_10p_300s.csv,81987,TerrainCircuitry,10,300,25
4646669369.0,221168459796.0,570362573959168.0,5303653113856.0,1880904206622720.0,17992536953.0,0.0,3035311274.0,953386797.0,175098113.0,6741928.0,15297.0,135741849.0,28627149.0,47242561.0,928736.0,1799426.0,0.0,16543110.0,0.0,1160920.0,players-activeLogic_TerrainCircuitry_20p_300s.csv,58046,TerrainCircuitry,20,300,25
5890023609.0,296339929565.0,1044176745730048.0,6166175551488.0,3476702976987136.0,27615023361.0,0.0,5824887819.0,1230400088.0,176891315.0,9649802.0,18392.0,145770199.0,15897401.0,66879917.0,1223472.0,2370477.0,0.0,20416689.0,0.0,2294010.0,players-activeLogic_TerrainCircuitry_30p_300s.csv,76467,TerrainCircuitry,30,300,25
5467109212.0,296789345112.0,1242796715257856.0,5668625862656.0,4156432231534592.0,33116123194.0,0.0,8230643200.0,1433029441.0,509838143.0,10844587.0,18498.0,398550920.0,37026809.0,73055857.0,1099856.0,2130971.0,0.0,18353847.0,0.0,2749640.0,players-activeLogic_TerrainCircuitry_40p_300s.csv,68741,TerrainCircuitry,40,300,25
4327597547.0,296332183526.0,1227908312367104.0,4477794869248.0,4132501444599808.0,40479157519.0,0.0,12323235927.0,1716317440.0,572073760.0,15626258.0,42905.0,470448949.0,18206449.0,84670974.0,876176.0,1697591.0,0.0,14621187.0,0.0,2738050.0,players-activeLogic_TerrainCircuitry_50p_300s.csv,54761,TerrainCircuitry,50,300,25
3992300501.0,296635444580.0,1323104332640256.0,4089022779392.0,4431208275038208.0,51084821952.0,0.0,15118262292.0,1839904691.0,1485026638.0,21068653.0,48245.0,1201372286.0,38763529.0,85106184.0,780976.0,1513141.0,0.0,13032537.0,0.0,2928660.0,players-activeLogic_TerrainCircuitry_60p_300s.csv,48811,TerrainCircuitry,60,300,25
4055314670.0,295372474785.0,1490839438618624.0,4107217915904.0,5024333360250880.0,57479394986.0,0.0,17390377566.0,1787311225.0,1332423105.0,22865992.0,48066.0,900821765.0,206825385.0,87142189.0,759440.0,1471415.0,0.0,12673155.0,0.0,3322550.0,players-activeLogic_TerrainCircuitry_70p_300s.csv,47465,TerrainCircuitry,70,300,25
1704257550.0,121837325489.0,646103693205504.0,1926076235776.0,2166112739049472.0,28196098795.0,0.0,8405833944.0,768516497.0,382815657.0,12496099.0,29946.0,290530030.0,32801905.0,34777942.0,267840.0,518940.0,0.0,4770900.0,0.0,1339200.0,players-activeLogic_TerrainCircuitry_80p_300s.csv,16740,TerrainCircuitry,80,300,25
3203531139.0,292285707669.0,1722982000558080.0,4806379466752.0,5790026409230336.0,82199877265.0,0.0,23068644662.0,1757497806.0,2128266881.0,35512262.0,84425.0,1496110684.0,231271758.0,78479815.0,599344.0,1161229.0,0.0,11350077.0,0.0,3371310.0,players-activeLogic_TerrainCircuitry_90p_300s.csv,37459,TerrainCircuitry,90,300,25
