timestamp;proc.cpu_num;proc.cpu_percent;proc.cpu_times.children_system;proc.cpu_times.children_user;proc.cpu_times.iowait;proc.cpu_times.system;proc.cpu_times.user;proc.create_time;proc.cwd;proc.exe;proc.gids.effective;proc.gids.real;proc.gids.saved;proc.io_counters.read_bytes;proc.io_counters.read_chars;proc.io_counters.read_count;proc.io_counters.write_bytes;proc.io_counters.write_chars;proc.io_counters.write_count;proc.ionice.ioclass;proc.ionice.value;proc.memory_full_info.data;proc.memory_full_info.dirty;proc.memory_full_info.lib;proc.memory_full_info.pss;proc.memory_full_info.rss;proc.memory_full_info.shared;proc.memory_full_info.swap;proc.memory_full_info.text;proc.memory_full_info.uss;proc.memory_full_info.vms;proc.memory_info.data;proc.memory_info.dirty;proc.memory_info.lib;proc.memory_info.rss;proc.memory_info.shared;proc.memory_info.text;proc.memory_info.vms;proc.memory_percent;proc.name;proc.nice;proc.num_ctx_switches.involuntary;proc.num_ctx_switches.voluntary;proc.num_fds;proc.num_threads;proc.pid;proc.ppid;proc.status;proc.terminal;proc.uids.effective;proc.uids.real;proc.uids.saved;proc.username;net.bytes_sent.eth0;net.bytes_recv.eth0;net.packets_sent.eth0;net.packets_recv.eth0;net.errin.eth0;net.errout.eth0;net.dropin.eth0;net.dropout.eth0;net.bytes_sent.eth1;net.bytes_recv.eth1;net.packets_sent.eth1;net.packets_recv.eth1;net.errin.eth1;net.errout.eth1;net.dropin.eth1;net.dropout.eth1;net.bytes_sent.eth2;net.bytes_recv.eth2;net.packets_sent.eth2;net.packets_recv.eth2;net.errin.eth2;net.errout.eth2;net.dropin.eth2;net.dropout.eth2;net.bytes_sent.eth3;net.bytes_recv.eth3;net.packets_sent.eth3;net.packets_recv.eth3;net.errin.eth3;net.errout.eth3;net.dropin.eth3;net.dropout.eth3;net.bytes_sent.eth4;net.bytes_recv.eth4;net.packets_sent.eth4;net.packets_recv.eth4;net.errin.eth4;net.errout.eth4;net.dropin.eth4;net.dropout.eth4;net.bytes_sent.ib0;net.bytes_recv.ib0;net.packets_sent.ib0;net.packets_recv.ib0;net.errin.ib0;net.errout.ib0;net.dropin.ib0;net.dropout.ib0;net.bytes_sent.lo;net.bytes_recv.lo;net.packets_sent.lo;net.packets_recv.lo;net.errin.lo;net.errout.lo;net.dropin.lo;net.dropout.lo;disk.read_count.nvme0n1;disk.read_bytes.nvme0n1;disk.write_count.nvme0n1;disk.write_bytes.nvme0n1;disk.read_count.nvme0n1p1;disk.read_bytes.nvme0n1p1;disk.write_count.nvme0n1p1;disk.write_bytes.nvme0n1p1;disk.read_count.nvme0n1p2;disk.read_bytes.nvme0n1p2;disk.write_count.nvme0n1p2;disk.write_bytes.nvme0n1p2;disk.read_count.nvme0n1p3;disk.read_bytes.nvme0n1p3;disk.write_count.nvme0n1p3;disk.write_bytes.nvme0n1p3;disk.read_count.nvme0n1p4;disk.read_bytes.nvme0n1p4;disk.write_count.nvme0n1p4;disk.write_bytes.nvme0n1p4;cpu.guest;cpu.guest_nice;cpu.idle;cpu.iowait;cpu.irq;cpu.nice;cpu.softirq;cpu.steal;cpu.system;cpu.user;cpu.percent;cpu.freq.current;cpu.freq.min;cpu.freq.max;cpu.ctx_switches;cpu.interrupts;cpu.soft_interrupts;cpu.syscalls
1713471542531.043;18;299.0;0.0;0.0;0.16;3.1;16.19;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180449280;9363362;17952;16384;11770;214;0;0;1510469632;0;0;462486528;462745600;141004800;0;8192;461979648;7440175104;1510469632;0;0;462745600;141004800;8192;7440175104;0.34272930903951093;entities.x86_64;0;508;14799;44;120;3319394;1;running;None;5258;5258;5258;esu530;79094878784;35280750954;71193492;76377703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244828126;1705849751554;111985696;266170465;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053831;23984665600;465;2226176;11;1057792;2196388;47542850560;1048159;23291613184;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567256.17;3458.81;3848.61;41746.51;8388.07;0.0;44559.09;294566.87;6.5;2.7779374999999984;1500.0;2800.0;4040586866;1785395454;927312571;0
1713471543593.5286;19;323.4;0.0;0.0;0.17;3.7;19.03;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9396818;19920;20480;11999;218;0;0;1528463360;0;0;470989824;469135360;141197312;0;8192;470482944;8044154880;1528598528;0;0;469401600;141197312;8192;8111263744;0.34765902912970087;entities.x86_64;0;601;17872;44;120;3319394;1;running;None;5258;5258;5258;esu530;79094879111;35280757766;71193494;76377718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244832260;1705850016148;111985703;266170496;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053831;23984665600;465;2226176;11;1057792;2196388;47542850560;1048159;23291613184;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567303.43;3458.81;3848.7;41746.51;8388.1;0.0;44559.7;294569.83;7.2;2.376874999999999;1500.0;2800.0;4040665890;1785445453;927322181;0
1713471544657.872;19;410.7;0.0;0.0;0.17;4.3;22.83;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9426092;21642;20480;11999;218;0;0;1655754752;0;0;507407360;504594432;141426688;0;8192;506900480;8924762112;1655754752;0;0;504594432;141426688;8192;8924762112;0.3737243552927234;entities.x86_64;0;696;19244;44;120;3319394;1;running;None;5258;5258;5258;esu530;79095063565;35280767402;71193660;76377776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244832326;1705850016148;111985704;266170496;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053831;23984665600;465;2226176;11;1057792;2196388;47542850560;1048159;23291613184;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567349.99;3458.81;3848.8;41746.51;8388.12;0.0;44560.38;294573.97;9.6;2.740583333333332;1500.0;2800.0;4040748028;1785503305;927332315;0
1713471545728.5154;19;429.9;0.0;0.0;0.17;4.98;26.73;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9462064;23758;24576;12228;222;0;0;1774145536;0;0;543849472;540004352;141447168;0;8192;543342592;9662959616;1765945344;0;0;538628096;141447168;8192;9662959616;0.39893115174157756;entities.x86_64;0;793;21475;44;120;3319394;1;running;None;5258;5258;5258;esu530;79095423344;35280782530;71193958;76377865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244836134;1705850016354;111985706;266170497;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053831;23984665600;465;2226176;11;1057792;2196388;47542850560;1048159;23291613184;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567396.16;3458.81;3848.91;41746.51;8388.15;0.0;44561.11;294578.01;9.6;2.7694583333333314;1500.0;2800.0;4040841544;1785568291;927343285;0
1713471546794.5093;43;437.8;0.0;0.0;0.17;5.69;30.69;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9500722;26032;24576;12228;222;0;0;1875488768;0;0;574925824;571166720;141447168;0;8192;574418944;9998503936;1867292672;0;0;569556992;141447168;8192;9998503936;0.42183842337297695;entities.x86_64;0;890;24058;44;120;3319394;1;running;None;5258;5258;5258;esu530;79095684433;35280804954;71194237;76377999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244842278;1705850016758;111985710;266170499;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053831;23984665600;465;2226176;11;1057792;2196388;47542850560;1048159;23291613184;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567442.33;3458.81;3849.02;41746.51;8388.18;0.0;44561.82;294581.94;9.4;2.769354166666665;1500.0;2800.0;4040940846;1785634434;927354955;0
1713471547860.5513;43;392.8;0.0;0.0;0.17;6.33;34.25;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9524046;27404;28672;12457;226;0;0;1946923008;0;0;592342016;588361728;141447168;0;8192;591835136;9998503936;1947058176;0;0;588361728;141447168;8192;10065612800;0.43576602025547656;entities.x86_64;0;987;27222;44;120;3319394;1;running;None;5258;5258;5258;esu530;79095914928;35280828227;71194507;76378144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244848638;1705850019512;111985726;266170514;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053837;23984690176;465;2226176;11;1057792;2196388;47542850560;1048165;23291637760;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567489.12;3458.81;3849.11;41746.52;8388.2;0.0;44562.48;294585.43;8.4;2.6980624999999985;1500.0;2800.0;4041033728;1785689535;927366256;0
1713471548931.5103;43;394.3;0.0;0.0;0.17;6.99;37.8;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9541216;28414;32768;12686;230;0;0;2068750336;0;0;632183808;628776960;141447168;0;8192;631676928;10334048256;2068754432;0;0;628776960;141447168;8192;10334048256;0.4656992806431098;entities.x86_64;0;1087;30300;44;120;3319394;1;running;None;5258;5258;5258;esu530;79096195102;35280860228;71194858;76378343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244852972;1705850019718;111985729;266170515;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053837;23984690176;465;2226176;11;1057792;2196388;47542850560;1048165;23291637760;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567535.83;3458.81;3849.21;41746.52;8388.22;0.0;44563.18;294589.04;8.7;2.779083333333332;1500.0;2800.0;4041123734;1785747363;927376693;0
1713471549997.521;43;389.5;0.0;0.0;0.17;7.65;41.31;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9558284;29418;32768;12686;230;0;0;2169413632;0;0;660962304;657199104;141447168;0;8192;660455424;10334048256;2169413632;0;0;657199104;141447168;8192;10334048256;0.48674994384669606;entities.x86_64;0;1185;33526;44;120;3319394;1;sleeping;None;5258;5258;5258;esu530;79096484900;35280906958;71195239;76378590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244852972;1705850019718;111985729;266170515;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053837;23984690176;465;2226176;11;1057792;2196388;47542850560;1048165;23291637760;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567582.68;3458.81;3849.31;41746.52;8388.25;0.0;44563.88;294592.91;9.1;2.7311249999999987;1500.0;2800.0;4041214377;1785802531;927387535;0
1713471551068.4636;43;392.6;0.0;0.0;0.17;8.21;44.96;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9575352;30422;40960;12915;234;0;0;2286854144;0;0;695438336;690663424;141447168;0;8192;694931456;10334048256;2286854144;0;0;690925568;141447168;8192;10334048256;0.511729214752926;entities.x86_64;0;1281;36757;44;120;3319394;1;sleeping;None;5258;5258;5258;esu530;79096777432;35280943207;71195652;76378842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244864314;1705850020658;111985736;266170521;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053837;23984690176;465;2226176;11;1057792;2196388;47542850560;1048165;23291637760;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567629.6;3458.81;3849.41;41746.52;8388.28;0.0;44564.5;294596.75;8.9;2.517937499999998;1500.0;2800.0;4041305633;1785858343;927399307;0
1713471552140.601;44;372.1;0.0;0.0;0.17;8.78;48.38;1713471535.1;/home/esu530;/var/scratch/esu530/entities/entities.x86_64;5258;5258;5258;180711424;9590176;31294;40960;12915;234;0;0;2404294656;0;0;728153088;724176896;141447168;0;8192;727646208;10602483712;2404294656;0;0;724176896;141447168;8192;10602483712;0.536356579486564;entities.x86_64;0;1375;39023;44;120;3319394;1;running;None;5258;5258;5258;esu530;79097113136;35280992971;71196129;76379151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127244864314;1705850020658;111985736;266170521;0;0;0;0;0;0;0;0;0;0;0;0;9361372320;9361372320;14817298;14817298;0;0;0;0;2669829;101870564352;1053837;23984690176;465;2226176;11;1057792;2196388;47542850560;1048165;23291637760;472790;54321252352;5649;691765248;56;1728512;0;0;0.0;0.0;213567676.81;3458.81;3849.5;41746.52;8388.3;0.0;44565.09;294600.06;7.8;2.7581666666666655;1500.0;2800.0;4041382799;1785906286;927408874;0
